Latitude ,Longitude ,MaximumDepth ,SecchiDepth ,Sampling Depth ,T_Surf ,T_Epi ,Zeu / Zmix,BuoyFreq,TP ,TN ,Chlorophyl_a ,MC_YR ,MC_dmRR ,MC_RR ,MC_dmLR ,MC_LR ,CYN ,ATX ,ToxinRichness,TDI,TTC,Toxicity
51.46658333,23.00238889,3.1,0.4,3.3,23.5,23.2,0.35,0.01,0.17,0.74,57.4,0.061,3.556,0.315,0.227,0.072,2.007,0.007,7,1.06,6.245,3
53.78916667,20.54,3.8,0.8,3,20.5,20.4,0.76,0,0.05,0.79,92.37,0.007,0,0.069,0.003,0.036,0.002,0.01,6,1.2,0.127,2
50.02986111,19.82761111,3,2.5,2.5,22.6,22.3,2,0,0.09,2.08,27.27,0.046,0,0,0.007,0.159,0,0.012,4,0.83,0.224,2
50.02447222,19.81325,2,1.5,1.5,21.8,21.7,1.88,0,0.06,1.73,50.48,1.012,0.086,2.734,0.087,3.968,0,0.08,6,1.12,7.967,3
53.78638889,20.42916667,41,3.3,10,21.3,17.8,1.06,0.01,0.08,0.47,6.55,0.002,0.294,0,0.022,0.004,0.032,0.003,6,0.67,0.357,2
52.448056,17.133333,7.5,0.8,6,20.9,15.6,0.3,0.01,0.02,0.53,47.42,0.002,0.624,0,0.054,0,0,0.003,4,0.32,0.683,2
49.88228,20.0446111,5,2.9,3,9,8.7,1.66,0,0.22,0.45,7.34,0.002,0,0,0,0.005,0,0.002,3,1.01,0.009,1
51.18844444,22.52969444,4,0.3,1.8,21.9,21.7,0.71,0,0.03,0.98,49.89,0.002,0,0.054,0.003,0.015,0,0.108,5,0.99,0.182,2
37.87288333,-25.76991667,28.5,3.35,15.5,22.3,21.3,0.5,0.01,0.07,0.99,0.73,0.002,0,0.043,0,0,0,0,2,0.18,0.045,1
37.758206,-25.332376,11,1.28,10.5,21.5,21.5,0.53,0,0.05,2.04,8.33,0.002,0.024,0.018,0.003,0.004,0,0,5,1.21,0.051,1
41.29397222,-7.175222222,11,2.5,4,23.4,23.4,3.53,0.02,0.11,0.9,41.6,0.002,0,0.01,0,0,0,0,2,0.46,0.012,1
37.8428,-25.78891667,23,1.95,9.5,21.2,20.7,0.44,0.01,0.02,0.77,5.87,0.002,0,0.061,0,0.004,0,0,3,0.37,0.067,1
59.73298,17.547852,50,1.51,14,20.4,19,0.2,0.01,0.05,0.38,18.04,0.046,0.292,0,0.129,0.013,0.004,0.003,6,1.05,0.487,2
59.84007,18.62512,21,4.89,13,19.7,19,0.52,0.01,0.07,0.41,4.47,0.002,0,0,0.008,0,0,0,2,0.5,0.01,1
55.70019444,13.47836111,3,1.48,2.5,19.3,19.2,2.96,0,0.01,0.99,1.23,0.046,0,0,0.012,0.489,0,0,4,0.39,0.547,2
59.73056667,18.73476667,7.8,1.18,7,18.9,18.9,0.37,0.01,0.05,0.86,28.66,0.099,0,0.638,0.037,0.637,0,0.003,6,1.01,1.414,3
55.86308333,13.54197222,17.5,1.03,10.5,18.9,18.4,0.45,0,0.03,0.49,3.78,0.01,0.234,0.182,0.052,0.074,0,0.002,6,1.31,0.554,2
59.50832,18.0448,5,0.59,4,18.9,18.8,0.39,0,0.08,0.2,55.71,0,0,0.212,0.017,0.098,0.002,0,4,0.82,0.329,2
59.73936111,17.84322222,9,0.7,5,17.7,17.7,0.37,0,0.04,0.4,101.54,4.921,0,0.025,3.166,0.161,0.223,0,5,0.87,8.496,3
55.68172222,13.59277778,16,1.4,4.5,19.1,18.9,0.76,0,0.16,1.16,2.8,0.023,0,0.193,0.01,0.079,0,0.027,6,1.15,0.332,2
48.17016667,17.14206667,5,1.05,3.5,28.5,28.1,1.11,0.01,0.05,0.35,10.68,0.005,0,0.063,0.003,0.054,0,0,4,0.93,0.125,2
48.52186667,19.66493333,55.3,2.2,7,21.7,21.5,0.69,0.01,0.06,0.3,3.6,0.007,0,0.051,0.002,0.038,0,0,4,0.98,0.098,1
48.81695,21.98628333,4,0.45,2.5,25.9,25.8,0.46,0.01,0.02,0.28,32.78,0.002,0,0.129,0.003,0.051,0.002,0.002,6,0.81,0.189,2
48.79675,22.02086667,14,0.55,5,26,25.7,0.26,0.02,0.02,0.29,43.1,0.002,0,0.019,0,0.008,0,0,3,0.81,0.029,1
40.60611111,31.67638889,6,0.7,4,20.3,19.5,3.21,0,0.14,0.36,11.26,0,0,0.031,0,0.011,0,0.001,3,0.69,0.043,1
39.252586,28.232628,34,1.5,16,25.5,24.2,0.19,0.01,0.25,1.02,1.16,0,0,0,0,0,0,0,1,0,0,1
39.82583333,32.8325,4,0.71,3.5,26.1,25.7,0.44,0.01,0.04,1.43,2.6,0.013,0.051,0.708,0.008,0.247,0,0,5,0.84,1.027,3
40.87833333,30.43194444,1,0.35,0.8,29.6,29.6,1.04,0.01,0.11,1.56,1.7,0.045,0,0.528,0.017,0.232,0,0.014,5,0.95,0.836,2
39.77888889,32.79611111,5.3,1.2,3,26.1,25.4,1.16,0.01,0.04,1.53,7.76,0,0,0,0,0,0.082,0.004,2,0.18,0.086,1
40.688141,30.389838,11,2.5,4,28.6,24.4,2.74,0.03,0.02,0.46,0.48,0,0,0,0,0,0.001,0,1,0,0.001,1
40.87055556,30.40111111,3.4,0.47,3,30,28.9,1.32,0.01,0.06,1.28,5.6,0.075,0.091,1.146,0.047,1.818,0.043,0,6,1,3.22,3
54.58241667,-6.396222222,34,2.8,7,16.4,16.3,0.63,0,0.08,0.82,64.98,2.59,6.59,0,2.895,0.076,0.033,0,5,1.05,12.184,3
